Zip Code,Total population,Unemployment rate - Population 16 years and over,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
76693,1604,10.9,4000,9000,10000
76701,1906,6,28000,97150,83350
76704,7825,7.5,34000,37550,29350
76705,30546,5.9,487000,900950,1166150
76706,36680,5.5,316850,715900,687750
76707,16256,11.6,44000,72550,66400
76708,27160,5.9,138750,263700,414200
76710,24415,4.3,404850,600800,638000
76711,9671,4.7,140050,185950,186600
76712,25350,2.5,323550,409450,463800
76801,24918,5.3,489650,694200,796550
76802,5010,2.2,120000,185050,189000
76821,4595,3.3,87000,139250,76000
76823,3348,1.2,55000,53300,41000
76825,6891,3.4,69300,170800,183000
76834,5349,6,132100,210750,238000
76837,2901,0,24000,35000,31000
76844,3719,3,15000,40000,72000
76849,3884,7.2,127800,274250,312300
76853,1575,7.5,17000,10000,11000
76856,3684,3.1,26000,23000,20000
76859,1967,5.5,37000,44000,36000
76861,1992,2.3,6000,17100,9450
76875,551,3.1,20900,8000,12000
76877,4187,3.9,55000,80000,80700
76878,1920,4.7,22000,33000,37150
76901,29879,4,306300,451350,503800
76903,32103,5.4,418800,656900,766550
76904,34828,2.5,266000,443500,687000
76905,13129,3.7,24000,49650,87800
76932,3744,3.9,177000,309150,371000
76933,1344,0.2,15600,31350,31000
76935,1736,0,6000,11000,16000
76936,3122,6.3,23000,36000,63000
76941,1430,5.2,63250,121450,95000
76943,3693,2.5,42000,69700,127000
76945,1647,7.2,29000,22000,46000
76950,3915,5.8,67000,105200,180000
76951,1139,2.6,36000,55050,40000
77002,12370,6.3,280400,338750,259900
77003,9646,8.3,344000,404100,236850
77004,37642,10.2,42000,78600,76850
77005,28233,2.3,87000,114000,118000
77006,21945,3.1,97000,92000,106100
77007,35822,2.8,265000,360500,451400
77008,34491,2.6,242000,374000,380300
77009,37751,6.3,156700,249200,239650
77010,915,0,17000,13550,10250
77011,18598,9.2,60050,107150,95250
77012,20085,6.9,110000,216850,180050
77013,20790,8.2,68000,210550,232500
77014,35729,6.7,62000,82000,102750
77015,57258,8.8,427900,771050,810250
77016,29597,16.2,62000,107650,95250
77017,32556,6.1,123000,221750,219150
77018,28073,4.4,231050,490050,335600
77019,21572,2.4,125000,152750,191450
77020,25898,9.6,99000,173550,216600
77021,26654,11.1,105150,165100,126050
77022,27364,5.3,177000,301850,258400
77023,28528,7.9,177000,260600,157050
77024,38110,2.8,140000,211150,277450
77025,28922,4.5,172800,229250,211100
77026,22799,10.4,50450,81650,76250
77027,16012,2.7,214000,293500,295850
77028,15725,12.1,112650,144300,155100
77029,17894,12.5,184000,372450,283850
77030,10813,5.1,32000,63000,41000
77031,18052,7.7,113000,173600,246750
77032,14443,9.2,147750,211600,254600
77033,29692,14.5,38000,70800,58150
77034,40183,6.7,281450,382050,251450
77035,38324,6.7,308000,457750,508400
77036,76605,7.6,182100,278450,224200
77037,20038,4,223000,327150,278000
77038,30653,6.4,126700,204000,325900
77039,27972,3.7,93250,195200,167950
77040,48273,5.6,311000,420200,494000
77041,35372,4.6,218650,325950,411550
77042,42098,6.1,218000,348750,397550
77043,25838,6.8,213000,203050,191150
77044,42665,7.2,130000,262450,385650
77045,36270,9.5,118550,228450,230200
77046,1029,1.1,44000,42000,51000
77047,29410,10.4,261600,382250,381150
77048,17143,12.9,34950,82300,150250
77049,33749,9.8,215000,386800,471250
77050,5031,4.6,13000,37700,47400
77051,16661,18.1,98150,146400,105950
77053,31868,9,143000,222750,265000
77054,22517,6,156000,193850,210400
77055,45003,5.9,279700,505050,471950
77056,21732,3.6,122900,212000,210000
77057,40130,3.5,298000,619600,526650
77058,16669,9.1,223000,372900,441550
77059,17374,5.5,82000,138000,135000
77060,44549,8.3,72000,150850,190050
77061,26276,6.4,108000,263050,268500
77062,26583,6.6,90000,156800,186700
77063,38931,5.3,177700,408000,515600
77064,49578,3.4,130800,228850,259350
77065,38820,5.3,557400,694400,652250
77066,33796,7,92000,158550,156800
77067,33489,6.1,156200,212000,215000
77068,10897,4.2,99000,88300,89350
77069,18238,6.3,207600,421150,314150
77070,51080,6.2,586200,783900,764300
77071,27981,7.5,82000,190850,213400
77072,62162,8.4,252650,404150,553650
77073,42780,5.8,112000,228100,229750
77074,39915,5.6,107000,242750,259800
77075,43586,4.2,232650,398250,324250
77076,35144,5.1,147600,241400,242100
77077,57757,4.9,325100,552150,545400
77078,15820,12.5,9150,22000,22000
77079,33577,4.3,181350,285900,314850
77080,45665,6.3,198000,421100,411100
77081,49059,4,183900,342400,382850
77082,56641,7.4,338000,420100,460500
77083,79408,5.7,220300,404350,413500
77084,104582,5.8,520600,811500,1042700
77085,17981,4.4,36000,63600,58600
77086,29506,8.7,143000,334600,351200
77087,37200,6.1,162400,408850,311950
77088,56716,10.5,132150,192750,211800
77089,52699,7.7,262000,401100,437700
77090,38361,5.8,159250,289800,232050
77091,25277,8.5,177600,233700,186250
77092,38476,5.2,256150,361900,334250
77093,44428,8.5,262000,547000,520250
77094,9439,3.3,43000,74000,117000
77095,72081,5,401600,711450,833700
77096,35465,3.9,165000,276000,252600
77098,13444,2.8,93000,114850,123000
77099,51905,9.2,180900,277750,305700
77301,31801,5.5,273400,406600,449400
77302,19311,6.6,80000,125750,186050
77303,19695,4.9,234550,426650,397050
77304,28692,3.9,251850,397050,484300
77306,11453,7.4,128000,212050,240000
77316,21272,3.7,20000,58000,81950
77318,15437,3.7,155000,306550,452600
77320,35670,3.8,121000,220250,280000
77327,22430,8,162000,191600,210150
77328,15863,8,133350,234200,213600
77331,7667,6.1,29000,47000,60000
77335,2519,6.2,20000,15550,18000
77336,12397,1.8,222000,358700,433100
77338,40335,6.4,524750,1008700,884300
77339,41403,6.5,334050,647850,529950
77340,29900,3.1,229000,357550,367650
