Zip Code,Median age,Percent - 10 to 14 years,Percent - 15 to 17 years,Percent - 15 to 19 years,Percent - 15 to 44 years,Percent - 16 years and over,Percent - 18 to 24 years,Percent - 18 years and over,Percent - 20 to 24 years,Percent - 21 years and over,Percent - 25 to 29 years,Percent - 30 to 34 years,Percent - 35 to 39 years,Percent - 40 to 44 years,Percent - 45 to 49 years,Percent - 5 to 14 years,Percent - 5 to 9 years,Percent - 50 to 54 years,Percent - 55 to 59 years,Percent - 60 to 64 years,Percent - 60 years and over,Percent - 62 years and over,Percent - 65 to 69 years,Percent - 65 years and over,Percent - 70 to 74 years,Percent - 75 to 79 years,Percent - 75 years and over,Percent - 80 to 84 years,Percent - 85 years and over,Percent - Under 18 years,Percent - Under 5 years,Total population,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
75101,33,10.3,8.2,11,36.8,70.3,8.5,66.2,5.6,62.7,5.9,4.1,5.5,4.6,9.6,18.9,8.6,6.3,5.6,1.5,16.1,15.5,2.5,14.5,6.5,2.8,5.5,2.4,0.3,33.8,6.8,710,14000,23500,12000
75103,43.6,6.7,5.2,7.3,35.9,81.1,7,77.3,4.9,74.2,5.1,4.7,5.8,8.1,6.9,12.8,6.1,6.2,5.3,6.6,28.3,24.9,8.5,21.7,3.8,4.8,9.4,2.9,1.8,22.7,4.6,13967,203000,299400,412850
75104,34.4,9.2,5.6,8.1,42,74.4,8.8,70.4,6.3,66.4,6.8,5.5,8.5,6.8,6.6,16.4,7.2,6.9,6.4,5.4,14.1,11.6,3.6,8.7,2.3,1.2,2.8,0.8,0.9,29.6,7.6,48568,347150,492150,490100
75109,45.1,7.2,4.7,8.1,31.3,79.9,7.5,76.8,4.2,72.5,2.3,4.8,4.2,7.7,7.7,14.6,7.5,8.3,6.1,7.3,28.1,25.5,6.3,20.8,6.4,5.7,8.1,0.9,1.5,23.2,3.9,4096,73550,90950,146400
75110,36.9,7.6,5,8.1,38,76.2,8.9,72.4,5.8,68.1,6.3,5.1,5.3,7.3,5.9,14.8,7.2,6.6,6.5,5.5,20.5,17.7,5.3,14.9,3.7,2.1,6,2.1,1.9,27.6,7.8,28847,352350,805500,886200
75114,37.9,7.2,5.4,8,40.3,77.6,7.3,73.9,4.6,70.2,6,6.5,7.9,7.3,9,13.7,6.5,7.7,8.4,3.8,13.9,12.4,5.1,10.1,2.7,0.7,2.3,1.5,0.2,26.1,7.1,5930,14000,17000,25000
75115,39.4,8.1,4.8,7.2,37,76.5,6.2,73.5,3.9,70.1,5.3,5.5,7.2,7.9,6.2,16.1,8,7.2,7.1,7.2,20.9,17.7,5.5,13.6,3,2.2,5.1,1.4,1.4,26.5,5.5,52377,333600,480150,481450
75116,34,5.7,4.5,7.3,39.1,73.7,8.2,70.7,5.4,67.1,7.2,6.3,6.2,6.7,4.8,14.1,8.4,5.9,6.6,5.3,18.8,16.8,4.2,13.5,3.5,2.3,5.8,1.9,1.7,29.3,10.7,19996,268000,479100,525050
75117,43.7,8.1,5.3,8.5,34.2,80.2,9.1,76.7,5.8,71.1,3.6,3.7,5,7.5,7.4,13,4.9,6.1,6.7,6,27.5,24.8,5.4,21.5,6.8,4.2,9.3,2,3,23.3,5.1,4007,37000,70000,59800
75119,34.8,7.1,4.5,7.8,39.7,76.1,10,73,6.7,67.8,6.8,6.5,6.1,5.7,6,15.7,8.6,7.3,5.4,7.1,19.3,15.4,4.2,12.1,2.7,2.1,5.2,1.7,1.3,27,6.8,27514,379450,779450,887200
