Zip Code,Median age,Percent - 10 to 14 years,Percent - 15 to 17 years,Percent - 15 to 19 years,Percent - 15 to 44 years,Percent - 16 years and over,Percent - 18 to 24 years,Percent - 18 years and over,Percent - 20 to 24 years,Percent - 21 years and over,Percent - 25 to 29 years,Percent - 30 to 34 years,Percent - 35 to 39 years,Percent - 40 to 44 years,Percent - 45 to 49 years,Percent - 5 to 14 years,Percent - 5 to 9 years,Percent - 50 to 54 years,Percent - 55 to 59 years,Percent - 60 to 64 years,Percent - 60 years and over,Percent - 62 years and over,Percent - 65 to 69 years,Percent - 65 years and over,Percent - 70 to 74 years,Percent - 75 to 79 years,Percent - 75 years and over,Percent - 80 to 84 years,Percent - 85 years and over,Percent - Under 18 years,Percent - Under 5 years,Total population
85209,42.9,6.9,3.7,5.6,34,79.9,6.6,77.4,4.8,74.7,5.2,5.9,5.2,7.4,5.2,13,6.1,6,4.7,5.2,31.3,29.3,6.8,26.1,6.2,6.3,13,4,2.7,22.6,5.9,41052
85210,30.6,7.1,3.7,5.7,47.4,74.7,11.1,72.3,9.1,68.3,9.3,9.4,7.1,6.8,6.3,16.3,9.2,5.4,5.3,4.8,11.7,9.7,2.6,6.9,2.1,1,2.2,0.6,0.6,27.7,7.7,39712
85212,31.4,8.5,4.7,8.3,43.7,71.4,9.9,68.3,6.3,62.8,6.4,7,7.2,8.5,6.8,19.2,10.6,5.6,5.2,4.4,11.8,10.1,3,7.3,2.1,1.4,2.2,0.5,0.3,31.7,7.8,31494
85213,38.2,6.6,5.3,7.7,37.7,79.2,9,75.6,6.6,72.3,6.9,5.5,5.8,5.2,6.6,13.5,6.9,6,7.2,6.1,23.4,20.8,6,17.4,4.6,3.1,6.8,1.8,1.9,24.4,5.6,35148
85215,55.8,5.3,2.8,4.4,23.8,87.4,5.4,85.3,3.8,83.2,2.9,3.9,4.3,4.6,6.1,8.6,3.3,6.8,9.3,7.9,42.2,39.6,7.7,34.3,8,7.6,18.5,6.3,4.6,14.7,3.3,16270
85224,34.1,6.9,4.1,5.9,46.9,79.6,9.3,76.7,7.5,73.7,10,8.9,7.9,6.7,5.8,12.1,5.2,6.2,7,5.2,15,12.4,3.9,9.8,2.2,1.3,3.7,1.3,1.1,23.3,7.1,44000
85225,32.8,6.8,4.7,7.4,46.4,77.9,10.3,74.8,7.6,70.9,10,7.5,6.9,7,6.3,13.7,6.9,7,6.6,4.4,13.2,11.4,3.6,8.9,1.8,1.6,3.5,1.1,0.9,25.2,6.9,70587
85226,35.7,7.2,4.6,6.9,43.5,78.5,8,75.9,5.8,72.1,8.1,8.2,7.9,6.6,6.9,13.2,6,8.7,7.3,6.1,14.2,11.6,3.6,8.1,1.9,1.1,2.6,0.7,0.8,24.1,6.3,37781
85233,36.4,7.9,4.8,7.6,42.5,79.4,9.1,75.8,6.3,71.6,6.9,8.3,6.1,7.4,8.6,14.2,6.3,8,6.5,4.5,15,13.5,4.2,10.4,2.6,1.8,3.6,1.2,0.6,24.2,5.2,35556
85234,34.2,8.8,5.4,8.2,40.9,73.8,9,70.3,6.2,66.1,5.4,7,7.8,6.3,6.9,17,8.1,7.1,6,5.4,14.8,12.6,4.1,9.4,2.2,1.2,3.1,0.6,1.2,29.7,7.3,50706
