Zip Code,MONTHLY HOUSING COSTS - Median,Owner-occupied housing percentage,Renter-occupied housing percentage,Total population,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
76092,3186,0.929648241,0.070351759,30138,248600,299450,278950
76093,770,0.668759812,0.331240188,1680,63950,31000,28000
76102,1317,0.272830082,0.727169918,9803,93000,93000,149000
76103,763,0.609053498,0.390946502,13689,46000,62650,147800
76104,710,0.420917549,0.579082451,18199,64550,57000,84600
76105,627,0.514571949,0.485428051,21661,46950,98850,91100
76106,798,0.517572208,0.482427792,39218,271200,476200,636800
76107,1130,0.489127283,0.510872717,30110,182500,310200,360000
76108,1037,0.660792052,0.339207948,41418,426500,566350,566250
76109,1349,0.558719601,0.441280399,22448,84000,108000,216250
76110,834,0.58264546,0.41735454,31118,223000,276500,293300
76111,868,0.606428791,0.393571209,22456,200350,284000,332700
76112,845,0.474079547,0.525920453,41448,233500,246050,410050
76114,832,0.564218116,0.435781884,25647,176400,323000,416450
76115,755,0.524497163,0.475502837,20485,170400,247250,231450
76116,902,0.398246683,0.601753317,49789,365000,553650,654150
76117,837,0.563200159,0.436799841,31298,167950,256000,246650
76118,1141,0.745680346,0.254319654,16318,64850,113350,103300
76119,762,0.504442877,0.495557123,48380,169450,227750,331300
76120,994,0.398131362,0.601868638,19041,89100,99400,109000
76123,1399,0.769766767,0.230233233,32131,21000,43150,64000
76126,1213,0.811417419,0.188582581,21355,271350,414850,439800
76131,1393,0.727453696,0.272546304,37868,232500,371550,468500
76132,1024,0.331732309,0.668267691,26405,102300,177600,232650
76133,951,0.6245829,0.3754171,51022,338150,543850,606650
76134,940,0.589627691,0.410372309,26581,200000,331150,282950
76135,1000,0.682241859,0.317758141,23845,210650,278050,351150
76137,1260,0.621270691,0.378729309,60065,365000,522500,660850
76140,1002,0.700471945,0.299528055,30643,411150,403700,401600
76148,1117,0.796226415,0.203773585,23819,345900,381050,516200
76155,1039,0,1,5289,29000,28950,24000
76164,704,0.560256117,0.439743883,16091,101850,149500,272300
76177,1417,0.59503866,0.40496134,7907,93000,122000,144400
76179,1390,0.75489501,0.24510499,57204,281100,441600,676550
76180,1068,0.474453561,0.525546439,36385,406450,523050,561000
76182,1380,0.811643226,0.188356774,31227,52000,119250,213500
76201,839,0.201646917,0.798353083,28038,167650,228800,286300
76205,987,0.374349137,0.625650863,20992,208000,265950,332050
76207,1167,0.651258155,0.348741845,14221,139050,182250,222750
76208,1220,0.631953106,0.368046894,23463,44000,68000,65000
76209,989,0.481634877,0.518365123,24667,72000,96550,99000
76210,1453,0.765239679,0.234760321,44044,94000,124000,168200
76225,874,0.824545455,0.175454545,3313,44000,54000,47000
76226,2180,0.901246883,0.098753117,25037,85000,134450,101500
76227,1491,0.809034908,0.190965092,29616,239600,329450,441400
76228,549,0.824873096,0.175126904,1027,11000,26750,10000
76230,794,0.708684864,0.291315136,9538,188500,241000,170900
76233,971,0.749806352,0.250193648,3490,30000,46000,40000
76234,962,0.734311473,0.265688527,15341,153550,246600,261700
76238,535,0.801204819,0.198795181,400,46000,19000,11000
76240,837,0.648648649,0.351351351,27123,169100,373750,495350
76244,1647,0.792225841,0.207774159,74414,230000,316900,368000
76245,621,0.897828863,0.102171137,1869,3000,4000,2000
76247,1298,0.795216012,0.204783988,14009,41650,71000,78000
76248,1764,0.805831266,0.194168734,39131,500850,599600,610700
76249,1239,0.778741866,0.221258134,8516,91000,121700,86000
76252,751,0.793522267,0.206477733,2622,44000,54000,19600
76255,616,0.703427065,0.296572935,5369,97850,111000,34800
76258,1059,0.8163012,0.1836988,6820,33000,44000,71350
76259,1171,0.758282209,0.241717791,4890,8000,8000,21000
76262,1701,0.768272286,0.231727714,34422,330000,494350,440900
