Zip Code,Scratcher Sales Amount,Income Per Household Amount,Population Count,Price Point,Male Population Count,Female Population Count,Asian Population Count,Black Population Count,Hawaiian Population Count,Hispanic Population Count,Indian Population Count,White Population Count,Other Population Count,Total Population,Male Population Ratio,Female Population Ratio,Asian Population Ratio,Black Population Ratio,Hawaiian Population Ratio,Hispanic Population Ratio,Indian Population Ratio,White Population Ratio,Other Population Ratio,Ticket count,Ticket Per Capita,Sales Per Capita
85031,2875120.00,30213,30493,20,15278,15215,415,1870,98,24308,742,15466,13127,56026,0.501033024,0.498966976,0.007407275,0.033377361,0.001749188,0.433869989,0.013243851,0.276050405,0.234301931,143756,2.565880127,51.31760254
85031,819300.00,30213,30493,30,15278,15215,415,1870,98,24308,742,15466,13127,56026,0.501033024,0.498966976,0.007407275,0.033377361,0.001749188,0.433869989,0.013243851,0.276050405,0.234301931,27310,0.487452254,14.62356763
85032,14609440.00,51763,65485,20,32618,32867,2328,2379,244,17787,1259,53152,8212,85361,0.498098801,0.501901199,0.027272408,0.02786987,0.002858448,0.208373848,0.014749124,0.622673118,0.096203184,730472,8.557444266,171.1488853
85032,13536070.00,51763,65485,10,32618,32867,2328,2379,244,17787,1259,53152,8212,85361,0.498098801,0.501901199,0.027272408,0.02786987,0.002858448,0.208373848,0.014749124,0.622673118,0.096203184,1353607,15.85744075,158.5744075
85032,11067820.00,51763,65485,5,32618,32867,2328,2379,244,17787,1259,53152,8212,85361,0.498098801,0.501901199,0.027272408,0.02786987,0.002858448,0.208373848,0.014749124,0.622673118,0.096203184,2213564,25.93179555,129.6589778
85032,4296690.00,51763,65485,30,32618,32867,2328,2379,244,17787,1259,53152,8212,85361,0.498098801,0.501901199,0.027272408,0.02786987,0.002858448,0.208373848,0.014749124,0.622673118,0.096203184,143223,1.677850541,50.33551622
85033,8847270.00,37497,53037,5,26504,26533,668,3182,139,41533,1314,30469,19344,96649,0.499726606,0.500273394,0.006911608,0.032923258,0.001438194,0.429730261,0.013595588,0.315254167,0.200146923,1769454,18.3080425,91.54021252
85033,6393180.00,37497,53037,10,26504,26533,668,3182,139,41533,1314,30469,19344,96649,0.499726606,0.500273394,0.006911608,0.032923258,0.001438194,0.429730261,0.013595588,0.315254167,0.200146923,639318,6.614843402,66.14843402
85033,5239180.00,37497,53037,20,26504,26533,668,3182,139,41533,1314,30469,19344,96649,0.499726606,0.500273394,0.006911608,0.032923258,0.001438194,0.429730261,0.013595588,0.315254167,0.200146923,261959,2.710416042,54.20832083
85033,1577460.00,37497,53037,30,26504,26533,668,3182,139,41533,1314,30469,19344,96649,0.499726606,0.500273394,0.006911608,0.032923258,0.001438194,0.429730261,0.013595588,0.315254167,0.200146923,52582,0.544051154,16.32153463
85034,4495840.00,24454,5582,20,3014,2568,77,692,5,3870,255,3022,1759,9680,0.539949839,0.460050161,0.007954545,0.071487603,0.000516529,0.399793388,0.026342975,0.312190083,0.181714876,224792,23.22231405,464.446281
85034,2965700.00,24454,5582,10,3014,2568,77,692,5,3870,255,3022,1759,9680,0.539949839,0.460050161,0.007954545,0.071487603,0.000516529,0.399793388,0.026342975,0.312190083,0.181714876,296570,30.63739669,306.3739669
85034,2314905.00,24454,5582,5,3014,2568,77,692,5,3870,255,3022,1759,9680,0.539949839,0.460050161,0.007954545,0.071487603,0.000516529,0.399793388,0.026342975,0.312190083,0.181714876,462981,47.8286157,239.1430785
85034,1674120.00,24454,5582,30,3014,2568,77,692,5,3870,255,3022,1759,9680,0.539949839,0.460050161,0.007954545,0.071487603,0.000516529,0.399793388,0.026342975,0.312190083,0.181714876,55804,5.764876033,172.946281
85035,6144795.00,37391,47486,5,23606,23880,618,3162,102,39424,1405,22230,21940,88881,0.497114939,0.502885061,0.006953117,0.035575657,0.001147602,0.443559366,0.015807653,0.250109697,0.246846908,1228959,13.8270159,69.13507949
85035,4209210.00,37391,47486,10,23606,23880,618,3162,102,39424,1405,22230,21940,88881,0.497114939,0.502885061,0.006953117,0.035575657,0.001147602,0.443559366,0.015807653,0.250109697,0.246846908,420921,4.735781551,47.35781551
85035,3600740.00,37391,47486,20,23606,23880,618,3162,102,39424,1405,22230,21940,88881,0.497114939,0.502885061,0.006953117,0.035575657,0.001147602,0.443559366,0.015807653,0.250109697,0.246846908,180037,2.025596022,40.51192043
85035,812970.00,37391,47486,30,23606,23880,618,3162,102,39424,1405,22230,21940,88881,0.497114939,0.502885061,0.006953117,0.035575657,0.001147602,0.443559366,0.015807653,0.250109697,0.246846908,27099,0.304890809,9.146724272
85037,7036750.00,53938,44771,5,22244,22527,1838,4187,166,28746,1128,24958,14678,75701,0.496839472,0.503160528,0.024279732,0.055309705,0.002192838,0.379730783,0.014900728,0.329691814,0.1938944,1407350,18.59090369,92.95451843
85037,6608630.00,53938,44771,10,22244,22527,1838,4187,166,28746,1128,24958,14678,75701,0.496839472,0.503160528,0.024279732,0.055309705,0.002192838,0.379730783,0.014900728,0.329691814,0.1938944,660863,8.729911098,87.29911098
85037,6048360.00,53938,44771,20,22244,22527,1838,4187,166,28746,1128,24958,14678,75701,0.496839472,0.503160528,0.024279732,0.055309705,0.002192838,0.379730783,0.014900728,0.329691814,0.1938944,302418,3.994900992,79.89801984
85037,1469730.00,53938,44771,30,22244,22527,1838,4187,166,28746,1128,24958,14678,75701,0.496839472,0.503160528,0.024279732,0.055309705,0.002192838,0.379730783,0.014900728,0.329691814,0.1938944,48991,0.647164502,19.41493507
85040,11245425.00,35164,29352,5,14881,14471,601,6523,203,19032,1027,11313,11108,49807,0.506984192,0.493015808,0.012066577,0.130965527,0.004075732,0.382114964,0.020619592,0.227136748,0.223020861,2249085,45.15600217,225.7800108
