Zip Code,Asian percent,Hispanic or Latino percent,White percent,Total population,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
76086,0.4,16.8,90.8,22311,556400,709050,673650
76087,0.6,9.5,93.6,26889,193800,217200,217600
76088,0.2,7.7,95.7,11854,47000,55300,97500
76092,10.2,5.9,83.7,30138,248600,299450,278950
76093,0,7.8,99.4,1680,63950,31000,28000
76102,2.2,24.6,63.8,9803,93000,93000,149000
76103,3.4,45,58.5,13689,46000,62650,147800
76104,2,42.7,39,18199,64550,57000,84600
76105,0.5,58.3,40.7,21661,46950,98850,91100
76106,0.6,82.8,63.9,39218,271200,476200,636800
76107,1.5,24.3,72.5,30110,182500,310200,360000
76108,2.5,24.1,83.6,41418,426500,566350,566250
76109,2.1,10.6,87.3,22448,84000,108000,216250
76110,1.2,65.8,75.5,31118,223000,276500,293300
76111,3.2,71,68.2,22456,200350,284000,332700
76112,2,27,45.4,41448,233500,246050,410050
76114,0.8,51.2,74.7,25647,176400,323000,416450
76115,2.6,76,59.5,20485,170400,247250,231450
76116,2.7,26.3,69.4,49789,365000,553650,654150
76117,9.6,47.6,72.1,31298,167950,256000,246650
76118,6.1,25.1,72.7,16318,64850,113350,103300
76119,4,38,31.6,48380,169450,227750,331300
76120,4,21.6,44.9,19041,89100,99400,109000
76123,6.9,22.6,51,32131,21000,43150,64000
76126,1.7,13.7,92.5,21355,271350,414850,439800
76131,8.2,26.5,68.1,37868,232500,371550,468500
76132,6,17.2,68.7,26405,102300,177600,232650
76133,2.5,35.6,69,51022,338150,543850,606650
76134,1.2,42.3,58.1,26581,200000,331150,282950
76135,2.4,25.6,86.2,23845,210650,278050,351150
76137,7.6,23.8,71.7,60065,365000,522500,660850
76140,1.2,35.9,55.2,30643,411150,403700,401600
76148,4.7,21.8,82.9,23819,345900,381050,516200
76155,17.3,20.2,40.2,5289,29000,28950,24000
76164,0.5,94.3,65.6,16091,101850,149500,272300
76177,1.4,11.8,79.3,7907,93000,122000,144400
76179,4.3,25.8,79.7,57204,281100,441600,676550
76180,4.6,19.8,79.2,36385,406450,523050,561000
76182,3.8,13.4,85.8,31227,52000,119250,213500
76201,8.3,21.3,73.9,28038,167650,228800,286300
76205,5.3,21.7,75.2,20992,208000,265950,332050
76207,2.6,22.8,85.1,14221,139050,182250,222750
76208,2.3,30.4,84.6,23463,44000,68000,65000
76209,1.1,29.3,83,24667,72000,96550,99000
76210,3.4,18.4,82.1,44044,94000,124000,168200
76225,0,6.8,98.3,3313,44000,54000,47000
76226,3.1,8.1,91.4,25037,85000,134450,101500
76227,1,13.2,82.5,29616,239600,329450,441400
76228,0,2.8,92.8,1027,11000,26750,10000
76230,0,11.7,95.8,9538,188500,241000,170900
76233,0.4,7.7,96.4,3490,30000,46000,40000
76234,1,17.9,93.2,15341,153550,246600,261700
76238,0,8.3,99,400,46000,19000,11000
76240,1.1,21.3,89.5,27123,169100,373750,495350
76244,7.3,16.9,74.9,74414,230000,316900,368000
76245,2.8,3.2,95.7,1869,3000,4000,2000
76247,0.3,14.8,91,14009,41650,71000,78000
76248,5.7,8.8,86.4,39131,500850,599600,610700
76249,0.3,20.2,94.2,8516,91000,121700,86000
76252,0,7,96.1,2622,44000,54000,19600
76255,0.1,11,94.3,5369,97850,111000,34800
76258,0,25.8,92,6820,33000,44000,71350
76259,2.2,15.9,89.8,4890,8000,8000,21000
76262,3.8,12,86.6,34422,330000,494350,440900
76265,1.1,3.9,96.5,1806,8900,5150,4000
76266,0.2,14.3,92.8,15439,96000,156000,274950
76270,0,13.6,94.1,1797,6000,9000,7000
76271,0.4,16.5,98.7,1626,27000,25750,22000
76272,0.3,7.2,97.9,4256,52000,61000,77250
76273,0.2,12.5,96,9245,31000,53000,63000
76301,0.9,31.5,62.7,15632,30400,64800,49000
76302,1.1,16.5,80.7,13725,150100,241750,240700
76305,1.5,8.5,90.3,4264,9000,16000,30000
76306,1.5,23.3,68.2,15099,94450,142850,259000
76308,3.6,11.1,82.1,19361,70000,146150,170950
76309,0.7,31.3,81.1,12939,65000,62000,72000
76310,4.7,11,89,17720,72950,66000,80000
76351,0.2,8.9,95.1,1853,12000,14000,37000
