,Zip1,Similiarity1,Prediction1,Zip2,Similiarity2,Prediction2,Zip3,Similiarity3,Prediction3,Zip4,Similiarity4,Prediction4,Zip5,Similiarity5,Prediction5,Zip6,Similiarity6,Prediction6
85234,77090,0.9871492370179993,306726.29232814576,77498.0,0.999994612243661,496608.22736446105,76110.0,0.9999999999596558,450549.8103991259,75231,0.9999999998501945,425870.7517793594,77375,0.9999999906671156,816966.2404750123,75165,0.999999999999993,1112509.995719178
85248,75219,0.9675910816577998,246419.30661167676,77541.0,0.9999919958422785,1117189.2955465587,77357.0,0.9999999998443603,683803.1642968686,78006,0.9999999969780154,823331.1110410293,76049,0.9999995532668401,660200.9394384882,77080,0.9999999999999928,293896.21373042814
85249,75236,0.9796929690256634,228910.58138280662,78621.0,0.9999864511763733,707291.554736984,77493.0,0.9999999980726096,304091.2419957311,78232,0.9999999976282319,605599.6347295948,76248,0.9999999682946907,591249.0250696379,77373,0.9999999999998186,235139.12968843878
85250,79512,0.9852072699844354,298132.55343366635,75082.0,0.9999898704640215,72760.39691568703,75428.0,0.9999999965386585,116247.9077948528,77384,0.9999999693765323,551855.9221709567,79903,0.9999997148058237,68664.3498029706,76208,0.999999999999989,49065.12381195925
85251,75208,0.9847373188756204,215464.55446889432,77339.0,0.9999866236338648,519940.5586551699,77459.0,0.999999999722612,423213.425765017,77063,0.9999999986975202,425711.3354396239,78759,0.999999953137494,275145.7081750185,76108,0.9999999999999901,555353.7411270463
85253,79906,0.970012678001424,32503.60975609756,78562.0,0.9999642276222644,31608.44108319102,79731.0,0.9999999347047199,349640.329347598,78735,0.9999999953699371,284932.6217980914,78133,0.9999997736439211,355728.0883750396,78109,0.9999999999999004,419202.78976379917
85254,78414,0.9758210236982122,495064.33247268084,75229.0,0.9999693534335649,302961.9280642174,77868.0,0.9999999994053047,1353242.9435602278,78230,0.9999999979119755,692642.6070858461,75093,0.9999999697572225,444881.4706066096,76137,0.9999999999999779,399914.9671189545
85255,75219,0.9713068061601473,304955.7803840701,78633.0,0.9999755957411706,99666.80147207507,75143.0,0.9999999982291168,888862.006648748,77382,0.99999999637905,145178.9498347556,77024,0.9999999464432653,223843.37837837837,78758,1.0,435486.3464756103
85256,79906,0.9864696490837062,9447.80487804878,78026.0,0.9999747156690778,103424.18772563177,75021.0,0.9999999984710396,54393.382352941175,76458,0.9999999938451768,80613.56333502452,78384,0.9999972056060761,78862.11180124224,77977,0.9999999996274695,115234.27041499331
85257,78414,0.9815821429285518,340384.3230837441,75025.0,0.9999910428328074,129601.68038985044,75071.0,0.9999999999472614,128190.01223769208,76182,0.9999999988071813,120708.78566625035,76107,0.9999999505573196,325643.03553636663,78731,0.9999999999999999,152016.17663132583
85258,75219,0.977738625108628,185301.3403789148,78834.0,0.9999761569151451,332440.27938120527,77954.0,0.9999999995441052,756039.4949412533,75094,0.9999999974680075,139235.35524094038,78624,0.9999997830574252,411753.52745884634,77840,0.9999999999999947,86598.0342868634
