Zip Code,American Indian and Alaska Native percent,Asian percent,Black or African American percent,Female percent,Hispanic or Latino percent,Male percent,Median income (full time),Median income(all),Native Hawaiian and Other Pacific Islander percent,Total population,White percent
85750,0.5,6,1.2,52.1,10.5,47.9,60592,41478,0,24207,88
85755,0.2,2.4,2.6,51.4,12.7,48.6,81700,50582,0,16143,91.2
85756,2.9,1.2,7,41,58.7,59,34420,23688,0.4,40965,68.7
85757,19.2,0.9,1.4,50.5,63.9,49.5,40195,30233,0,19264,46.1
85901,3.2,0.6,0.6,50.8,15.5,49.2,40372,25907,0,18279,89.8
85911,93.4,2.7,0,55.8,6.4,44.2,25278,17127,0,2293,0.8
85920,0,0,2.9,46.9,10,53.1,52708,46250,0,309,97.1
85924,0,1.6,0,48.5,16.4,51.5,42052,34946,0,2668,91
85925,6.6,0,0.6,49.3,17.8,50.7,40906,31211,0,4936,90.6
85929,1.1,0.2,0.1,52.8,17.9,47.2,39125,23766,0,7085,91.7
85930,93.6,0,0,45.8,6.5,54.2,28125,19228,0,1340,1.4
85933,2.9,0.6,0.3,48.7,7.9,51.3,34514,22853,0,2690,92.7
85935,11.4,0.2,0.9,48.3,9.5,51.7,50093,36630,0,4963,84.5
85936,7.8,0,0.8,45.7,28.7,54.3,37995,29554,0,4520,84.2
85937,4,0,0.6,49.2,4.9,50.8,43829,23820,0,7827,91.9
85938,7.7,0.1,0,50.2,30.2,49.8,40409,35344,0,2042,81.6
85939,6.3,0.6,0,49.2,13.2,50.8,41575,31561,0,4215,89
85940,0.8,0,0,50.7,4.1,49.3,44900,35568,0,971,97
85941,93.5,0.4,0.2,50.9,2.4,49.1,30548,21348,0.3,10968,2.1
86001,8.8,3.3,1.3,48.2,15.4,51.8,43777,21836,0.1,44819,80
86004,10.6,1,1.6,50.7,20.9,49.3,42238,34182,0,36186,78
86011,1.9,4.3,6.8,64.5,19.3,35.5,12464,3128,0.8,8471,78
86018,1.8,1.3,0,48.9,2,51.1,50250,33897,0,879,84.2
86020,97.1,0,0.9,50.7,1.9,49.3,25208,17454,0,2213,1.2
86021,0,0,0,54.9,0,45.1,31959,23563,0,6325,100
86022,21.4,0,0,56.6,3,43.4,31595,22639,0,2209,72.1
86023,15.5,4.4,3.3,35.5,13.7,64.5,28021,23779,0,1830,71.1
86024,1.4,0,0,51.5,3.6,48.5,57083,53500,0,585,92.6
