Zip Code,Percent bachelor's degree or higher,Percent high school graduate or higher,Total population,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
76244,47.9,96.8,74414,230000,316900,368000
76245,21.9,90.9,1869,3000,4000,2000
76247,30.7,90,14009,41650,71000,78000
76248,55.1,95.4,39131,500850,599600,610700
76249,29.7,86.4,8516,91000,121700,86000
76252,33.5,94.3,2622,44000,54000,19600
76255,15.2,79.3,5369,97850,111000,34800
76258,24,84.4,6820,33000,44000,71350
76259,21.2,85.7,4890,8000,8000,21000
76262,53.5,95.9,34422,330000,494350,440900
76265,17.6,85.1,1806,8900,5150,4000
76266,23.6,90.2,15439,96000,156000,274950
76270,13.7,77.9,1797,6000,9000,7000
76271,22.2,86.3,1626,27000,25750,22000
76272,18.2,84.8,4256,52000,61000,77250
76273,18,85.7,9245,31000,53000,63000
76301,12.5,76.7,15632,30400,64800,49000
76302,22.1,87.8,13725,150100,241750,240700
76305,23,88.8,4264,9000,16000,30000
76306,17.7,84.7,15099,94450,142850,259000
76308,38.2,95.5,19361,70000,146150,170950
76309,24,85.3,12939,65000,62000,72000
76310,33.6,92.2,17720,72950,66000,80000
76351,21,92.2,1853,12000,14000,37000
76354,18.9,88.4,12085,67000,73450,99250
76360,12.5,84.9,3561,34400,19550,24750
76364,27.4,94.3,143,8000,11000,14000
76365,17,89,4395,22100,20350,33100
76366,15.6,88.4,2102,7000,95000,113000
76367,10.5,77.9,14963,12700,15000,46000
76371,17.3,79.6,1557,10000,11000,8850
76372,15.1,88.4,1409,36500,31000,40000
76374,22,82.4,3917,39000,64000,69000
76380,25.1,88,3633,37000,55000,73000
76384,15,78.9,12385,82850,174400,274400
76401,30.8,88,29478,228600,481550,473050
76424,16.4,76.3,8794,78200,116350,95700
76426,16.5,80.6,12453,144000,198250,217500
76427,6.9,69.7,1021,18950,36000,38000
76430,29.6,83.9,2428,15000,5000,43150
76431,11.9,77.1,2931,13000,18100,26000
76437,15.3,80.2,5401,117850,141600,181400
76442,17.5,79.1,7496,52000,95000,115000
76443,15,87.9,2316,44000,24450,28250
76444,20.4,84.8,3472,40000,42000,23000
76446,17.6,74.7,8105,63900,128700,150000
76448,13.6,84.9,5224,101000,176000,170950
76449,19,87,2427,49000,53000,45300
76450,19.1,82.1,12885,149550,214000,215800
76453,28.4,93.7,1357,20000,27350,13000
76454,9.8,78.7,1560,14000,8000,5000
76457,16.7,82.1,4102,46000,83000,50350
76458,12.1,78.8,5913,66000,100500,88600
76470,11.4,87.3,3820,20100,28000,39200
76471,17,84.2,2275,10000,5000,10000
76472,30.3,83.7,1507,41250,72350,73000
76475,27.7,83.6,909,3000,3000,3000
76476,23.8,89.5,2718,31000,40000,48000
76483,19.3,77.1,972,23000,25500,16000
76486,9.8,87.9,1040,10000,18550,22650
76487,15,80,2704,27600,23600,16000
76501,14.9,81.6,17571,177200,256150,225750
76502,35.7,95.1,38571,432000,784750,776650
76504,18.9,85.8,23368,298800,436050,528100
76511,8.1,70.7,2869,18000,33000,32800
76513,31.2,88.3,38124,513200,792650,837700
76520,14.8,79.7,8124,76000,156900,140700
76522,18.8,93.8,36581,355100,594650,679350
76527,13.8,81.8,3886,48000,88000,106550
76528,14.8,83.4,16708,221450,512750,383350
76530,13.6,84.8,2190,62000,116150,185000
76531,26.8,84.4,4632,69000,76450,63400
76534,17.5,85.6,2927,17000,33600,26000
76537,18,88.3,4921,310000,311100,157850
76539,20.6,92,8530,14000,42000,40000
76541,10.2,82.5,18447,183250,340600,320800
76542,24.8,92.4,50324,510050,866450,936100
76543,13.4,90,29256,200150,303350,292950
76548,36.1,92.3,29595,281050,447200,538900
76549,20,94.8,48970,353950,568600,556700
76550,20.1,86.2,12517,172350,184700,281250
76554,12.1,85.5,2285,28850,49000,50500
76556,11.7,86.7,1281,5000,11000,8650
76557,15,88.3,4783,11000,12000,22000
76559,18.3,91.7,5534,30000,66000,119950
76567,13,82.1,9098,68000,82150,89800
76569,11.7,90.4,2250,27000,32000,54200
76570,21,85.8,2909,16700,14200,16250
76571,45.3,97.5,7200,62000,62000,56000
76574,15.1,81.6,18939,292700,490950,633950
